customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
6c0645b3-ffe4-40a4-aae4-6525f7982465,Matthew Moore,henryvictoria@example.net,992-886-9612x165,"794 Lambert Shoal
Morseberg, MS 49792",2024-05-17,True,American,24,4.71
7baec65c-19ff-4d68-96b0-c7071e07d317,Carrie Curtis,dawnlong@example.net,+1-295-280-4039x2425,"36039 White Mount Apt. 831
North Jennifer, FL 06895",2023-10-28,True,Italian,37,4.82
f02c4f90-ba55-451a-9a04-301bf29e0d9d,Bryan Durham,guerrerokevin@example.com,001-711-363-5063x3175,"4774 Christina Hills Apt. 765
Leonardmouth, AK 21978",2023-11-06,True,American,47,1.33
c1b250f6-3606-4c43-a04b-17decf705e44,Robert Simpson,jonesjoseph@example.net,747.907.1971x124,"21150 Gibbs Well Suite 526
South Paul, IA 06413",2024-01-12,False,Chinese,18,1.57
cb8048a0-0e62-4f72-9e7b-076a25b003ce,Amy Sutton,codycooke@example.com,+1-247-962-5133x707,"157 Pacheco Mall
Troymouth, CT 91895",2024-04-10,False,Mexican,50,1.05
0859cbec-a92f-4f58-b84d-1246d63f2e45,Samantha Barr,yolandacampbell@example.net,(246)672-8650x44299,"8990 Heather Knoll
Jonathanton, WY 69441",2024-01-17,True,Indian,45,3.92
c90c32e3-20e2-4d76-abb7-cadda33f4f5f,Robert Kennedy,pamela67@example.com,993-863-3483x2589,"416 Odonnell Falls Apt. 683
North Cynthia, PA 57574",2023-06-20,False,Chinese,29,3.51
198cc0fd-faa7-4cb9-9803-6c8d2c0fdcae,Nicole Mcguire MD,briannacrane@example.net,001-556-531-9341x2173,"85553 Deleon Camp
West Lisabury, TX 42634",2024-07-13,False,Italian,18,2.83
aea0c028-8276-40f9-896d-db63c275ec9c,Kristina Joseph,mezastephanie@example.com,+1-508-495-9579x184,"74301 Bruce Courts Suite 583
North Markville, FL 55070",2023-04-06,False,Italian,24,3.62
d27084c2-8537-44a8-8c1e-78b610a3002e,Willie Reyes,stephanie66@example.net,367-584-4770x602,"7855 Rebecca Plain
Port Darrenbury, MI 35464",2024-08-23,False,American,5,4.97
ad44ec8e-eb58-4d25-b746-55e71bc120a2,Olivia Adams,andreahanson@example.com,450-449-2055,"609 Jacob Gateway
South Gabrielle, MO 37564",2024-06-01,False,American,18,3.25
97ff1520-b1b1-4658-b559-0bdadd597143,Juan Harrell,chavezjennifer@example.org,935.737.5482,"095 Kimberly Islands
North Ronald, ME 03930",2023-04-21,True,Mexican,46,4.69
0042c802-4ee1-4d21-89f6-2ce4310bd92c,Joshua Ortiz,lisaedwards@example.com,(395)233-7634x81709,"196 James Mount
Port Heather, KY 17241",2024-01-04,True,Mexican,18,3.85
d3a304fa-cf63-4be4-9c33-6364ad1f0e42,Lisa Meadows,davidarmstrong@example.net,+1-231-907-8473x906,"PSC 2347, Box 6570
APO AA 59566",2024-02-22,False,American,10,3.31
14e4a7fd-de1a-4a11-b4bc-e3363eed29f7,Anne Lewis MD,michaeladavis@example.org,263.463.7417,"USS Rogers
FPO AA 02860",2024-07-06,False,Chinese,35,3.68
56c63736-d8a1-49dd-840d-a8176bfa5d9d,Catherine Hughes,opeterson@example.com,001-374-437-8980,"21924 Wiggins Ville Suite 806
Ericafurt, WY 08248",2024-07-01,False,Mexican,20,1.68
0f8b1f8b-86ba-4c80-a628-18f393d06983,Christopher Conley,fmoore@example.com,+1-489-505-3099x0778,"5960 Russell Knolls Suite 518
Lake Deborahberg, AS 36090",2024-05-15,True,Mexican,29,3.53
7e1711e1-885b-4bc4-b465-fcdb902dbf33,Karen Bryan,christopherarmstrong@example.net,859-973-1782x870,"786 David Mountains
Stephanieton, WV 54976",2024-03-28,True,Italian,9,4.03
167636b3-4ad5-4a58-95c9-c4ef7bf32c47,Natalie Santos,thompsonelizabeth@example.org,304-352-4564x90517,"PSC 0156, Box 0905
APO AE 70759",2024-01-20,True,Mexican,43,3.72
bf443877-13b6-4ad3-8919-ecc6965bf93e,Holly Oliver,greenemargaret@example.net,001-572-771-8066x25753,"0954 Dean Lake
Michelleland, OR 21561",2023-08-24,True,Mexican,26,4.65
1e23b3bf-9b80-4031-9af8-f2a1a0a782bb,David Anderson,lisa20@example.com,+1-816-377-9718x82316,"729 Evans Rapids Apt. 748
North Randy, NE 54380",2023-03-25,True,Italian,40,4.9
4cc2efd8-8a4a-4446-847b-1e8383f165c5,Wesley Colon,wwhitaker@example.com,562.772.6826,"006 John Station
Wrightchester, FM 83840",2023-10-02,True,American,49,1.6
cfd6ce76-1b39-4488-b645-22f13e0f102d,Madison Henderson,idean@example.org,(345)826-7930x6670,"7229 Mendoza Mills Suite 693
Ayalahaven, SD 17742",2023-06-15,True,American,41,1.43
f964afbc-3a80-4965-b532-d20e5a9ef9be,Julia Sawyer,luis52@example.net,001-780-486-8760x0905,"6715 Morgan Canyon Apt. 925
Edwardshaven, AK 23321",2023-02-14,True,Indian,32,4.03
ef552261-b65e-4621-aedb-e3b7f4501eb6,Steven Davis,dsmith@example.com,(632)270-6785x7575,"615 Ramos Fork
East Christopherhaven, IL 69359",2023-01-21,False,Italian,49,3.04
fe110556-d07a-4b2f-8917-b611818c07fc,Ariana Brady,jacksonjasmine@example.org,2705023419,"3386 Johnson Mountain Apt. 344
Williamstown, TN 01499",2023-01-07,False,Indian,31,4.91
655b21e1-1740-40af-ab94-049c2fd589b6,Phillip Cuevas,haley13@example.com,(822)765-3900,"74596 Brett Station
Gilbertshire, NM 11089",2024-05-05,True,Mexican,47,1.15
f885ccc4-b28b-46b8-8ac3-3daa8f1e5f23,Amy Grant,jacob61@example.org,(819)409-9551x42535,"PSC 2000, Box 9015
APO AP 22613",2023-08-31,True,American,20,4.22
293301b3-e46d-4725-8634-836076813efb,Justin Riley,bsanchez@example.net,001-300-946-7115x7422,"Unit 8314 Box 9195
DPO AA 61476",2024-10-07,True,Italian,33,2.57
9ecc5ce8-c80f-4aee-9ce8-0a8f6c33440f,Kyle Padilla,eyu@example.net,2256271621,"2903 William Stravenue Apt. 960
New Jasmine, ND 17857",2024-01-24,False,Indian,16,4.24
64ec2402-9e1c-44c8-8889-edd9498c578d,Krystal Bryant,thoward@example.org,940-875-2270,"59694 Sandoval Plain
Andreamouth, IL 25597",2023-03-14,False,Mexican,29,4.13
bc1e4250-e82b-4c3f-ac87-1cd2e6df7046,Mckenzie Davis,nicholas67@example.org,+1-277-200-5768,"8526 Matthew Plaza
Taylormouth, GU 58671",2023-01-18,False,Mexican,8,4.68
f4225bca-651f-482e-967f-a2608b80ed3f,Elizabeth Curtis,marcuspowers@example.net,(667)273-5561x70361,"2247 Morton Roads Apt. 309
South Crystal, NE 94499",2023-06-09,True,Italian,38,1.05
02d204c7-f85f-4b88-943f-1dc4adb14bad,Victor Johnson,stephaniebrown@example.com,386-533-4499,"1722 Amber Island Suite 282
Michaelhaven, CT 82926",2023-05-20,False,Italian,29,4.91
db2fdc04-c361-4cfe-8255-3a4f46915068,Karen Aguirre,michaelwilson@example.net,417-298-4600,"829 Mclean Throughway
Beckymouth, AZ 35052",2023-05-29,True,Indian,39,3.67
8c2e6546-4360-42c8-a0c9-0c14a5f5b104,Elizabeth White,kennethgarcia@example.net,862.368.6904x22111,"372 Darlene Lodge
North Cindyport, VT 16257",2023-08-07,False,Indian,13,4.53
7323deff-bf93-4ec8-99e5-16e922878d69,Bryan West,kevin27@example.com,659-366-8063x460,"100 Dawson Shoals
Hollyfort, NM 57019",2024-07-16,False,American,12,2.77
897d924a-8b96-424d-b592-1d2fc76c4fbe,Sherri Murray,jaredmedina@example.com,(466)809-7728x970,"7277 Alvarado Drives Apt. 591
Elijahstad, RI 54837",2023-02-09,False,Italian,42,2.17
457cbf89-4f5a-4d42-a663-a120da10e4d0,Michael Lin MD,sarahcobb@example.com,688-887-8394,"050 Gloria Burg
New Jillian, GA 03584",2023-03-15,True,American,44,4.57
61ada594-b9f1-42ea-923a-93bfc25199cf,Debra Thompson,anitareed@example.com,+1-776-587-6953,"032 Jane Ford
Webbmouth, HI 76252",2023-01-13,False,American,48,3.49
0332001e-7a87-40d9-a4c9-cf8ef0a38dbc,Jenna Pham,catherinedavidson@example.com,391-390-8306,"081 Leslie Island Apt. 879
North Brian, AS 68617",2023-11-04,False,American,12,1.51
6273846c-7e67-4d7b-8a45-a20a48e4ab33,Sergio Hernandez,zalvarez@example.com,865-568-5836x624,"44526 Barbara Ford
Monroehaven, AS 69660",2023-10-01,True,Chinese,50,2.07
49e5aaee-c4f5-4190-a454-1593e6f46b75,Jill Cook,khandustin@example.com,001-248-354-2582x32119,"26908 White Court Apt. 128
North Madison, VI 59501",2023-09-02,False,Indian,19,2.16
d31919f0-23e6-4dac-8d2a-ce956d9c4289,Sherry Aguilar,ramosdakota@example.org,277.692.0153,"853 Rodriguez Bypass Suite 794
East Anthony, HI 74766",2024-01-27,True,Italian,1,2.02
41fa8487-c71b-499f-8ce5-97bc828a8ac9,Jerry White,cdavis@example.com,750-298-2022,"6988 Stokes Harbor
Juliashire, WY 51345",2023-11-21,False,American,35,4.29
4d647e22-3724-46a2-8bde-9ce277295d59,Kathleen Sharp,westcheyenne@example.org,666-938-6981x4408,"91749 Quinn Plaza
Patrickborough, SC 41344",2023-10-12,False,Mexican,29,1.74
eb4882b8-0b52-43a4-b345-083022687625,Ashley Rivera,sandra23@example.org,(569)724-4395x00396,"01631 Pearson Drive
South Stephaniefurt, PR 65641",2024-12-01,False,Indian,9,3.31
80fbe5a8-993a-4534-8d15-d451eb35547d,Andrew Flores,connie22@example.com,+1-720-890-3238x5526,"283 Ellis Light Apt. 969
Sarahmouth, CT 10033",2022-12-28,True,Italian,17,4.95
012e80c3-5720-4ea5-86c4-5e27dd98fd65,Julie Davis DDS,robertsanders@example.com,546.457.7055,"482 Ramirez Course
Lake Elizabethborough, LA 25479",2024-01-19,True,Indian,28,4.25
d1d93c56-4aaf-4ce4-be44-68e95bdc42b4,Stacy Rodgers,yroberson@example.org,752-439-0775,"77641 Bradford Green Apt. 249
Davidville, TN 57654",2023-08-06,True,American,8,2.44
392453b9-90f7-406a-8640-4f432dcd0ec5,Brandy Archer,uwheeler@example.org,001-338-439-3502x389,"469 Johnson Plaza Suite 461
South Annamouth, PW 90408",2024-10-22,True,American,15,3.47
9d022bb5-a7e4-415f-9490-f8bff66e1a78,Justin Crawford,martinezlindsey@example.org,319.448.9185x23631,"184 Mikayla Underpass
Brownville, GA 70338",2023-03-28,True,Indian,46,1.97
d194955c-fde9-4bef-8a44-c0da3379ef85,Stephanie Davis,pmiller@example.org,+1-582-589-2376x79320,"2529 Seth Junctions
Tomfurt, WA 78615",2024-05-30,True,American,31,4.03
